	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup1086_g1	4	3	0	0	2	4	0	0	0	2	1	0	20	1	17	1	
isogroup10873_g1	16	25	0	10	3	20	0	0	0	4	2	9	0	2	6	1	
isogroup10876_g1	6	3	5	0	0	5	0	0	0	3	0	5	4	0	5	10	
isogroup1087_g1	29	49	39	9	3	31	4	0	4	17	2	36	63	59	285	52	
isogroup10903_g1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	20	3	
isogroup10906_g1	5	2	0	0	0	3	0	0	3	2	0	0	13	4	60	2	
isogroup10909_g1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	0	
isogroup10919_g1	40	18	3	7	4	11	1	0	3	20	3	14	67	12	166	27	
isogroup10922_g1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	
isogroup10929_g1	25	26	12	10	14	40	0	0	6	29	4	11	24	10	146	36	
isogroup10943_g1	2	0	1	0	0	1	1	0	0	2	1	7	8	1	16	0	
isogroup10953_g1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10965_g1	11	5	0	2	3	0	1	0	0	1	0	13	1	2	45	2	
isogroup10975_g1	0	1	11	7	0	2	0	0	1	6	1	5	12	1	6	3	
isogroup109861_g1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	3	1	
isogroup10986_g2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup109874_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
isogroup10991_g1	1	4	1	0	1	3	3	0	0	6	0	2	8	1	8	3	
isogroup109920_g1	0	2	0	0	0	0	0	0	2	6	1	1	5	1	2	3	
isogroup109932_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup109940_g1	2172	1788	270	362	275	772	9	1	40	77	40	165	1436	692	1515	137	
isogroup109944_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup109974_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup109976_g1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
isogroup109982_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup109983_g1	21	8	21	19	6	11	6	0	4	9	2	66	37	22	195	40	
isogroup109993_g1	12	10	8	2	2	6	0	0	6	0	1	15	19	3	49	9	
isogroup109995_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup109999_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup110003_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	
isogroup110007_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup110024_g1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	3	0	
isogroup110036_g1	0	4	3	5	0	13	2	0	1	3	0	0	12	9	26	11	
isogroup110051_g1	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	
isogroup110090_g1	1	21	2	0	0	0	0	0	0	0	0	2	0	8	0	1	
isogroup110093_g1	2	3	2	1	1	4	6	0	0	0	0	11	9	2	47	2	
isogroup11009_g1	17	10	1	0	2	11	0	0	0	9	2	3	12	0	63	5	
isogroup110124_g1	19	12	12	21	2	10	0	0	0	3	1	8	10	14	29	0	
isogroup11012_g2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
isogroup110142_g1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
isogroup110177_g1	0	1	0	0	0	22	0	0	0	0	0	0	0	0	4	0	
isogroup110190_g1	1	7	7	23	7	13	0	0	10	2	0	7	52	14	0	0	
isogroup11020_g1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	
isogroup11021_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
isogroup110227_g1	5	0	0	0	0	0	0	0	0	0	0	9	0	0	24	6	
isogroup110234_g1	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	
isogroup110239_g1	3	0	3	0	0	2	0	0	5	17	1	13	24	8	59	7	
isogroup110247_g1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	14	0	
isogroup110262_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup11030_g1	4	20	14	13	0	1	0	0	6	12	0	10	5	4	48	13	
isogroup110328_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
isogroup110379_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	
isogroup110388_g1	0	3	0	3	0	0	0	0	0	0	0	0	8	8	6	0	
isogroup110425_g1	4	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	
isogroup110434_g1	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	
isogroup110448_g1	1	4	0	0	0	0	0	0	0	2	0	1	15	2	1	0	
isogroup110462_g1	11	8	1	0	0	3	0	0	2	0	0	5	22	8	64	6	
isogroup110472_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
isogroup110489_g1	22	26	37	33	10	85	3	0	25	78	9	45	59	33	251	50	
isogroup110506_g1	3	0	0	2	0	0	0	0	0	5	0	0	3	1	9	0	
isogroup110537_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	
isogroup11054_g1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	
isogroup11055_g1	1	4	1	11	5	5	0	0	6	6	2	10	6	4	50	1	
isogroup11058_g1	8	7	1	3	0	9	0	0	0	9	0	2	20	16	20	10	
isogroup110591_g1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	15	4	
isogroup110599_g1	4	16	9	9	6	16	5	0	12	9	15	21	32	8	110	14	
isogroup110649_g1	0	0	0	0	0	10	1	0	0	0	0	0	8	0	3	2	
isogroup110669_g1	3	0	0	0	0	0	0	0	1	0	0	0	3	2	3	4	
isogroup110675_g1	41	55	146	159	47	152	52	0	88	124	39	187	160	41	786	86	
isogroup110753_g1	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	
isogroup110798_g1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	
isogroup110824_g1	2	3	0	1	1	0	0	0	0	0	0	0	3	1	4	0	
isogroup110829_g1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup110842_g1	70	53	26	12	7	71	0	0	8	21	1	43	99	28	250	43	
isogroup110849_g1	17	24	4	7	6	15	3	0	8	9	6	8	110	11	287	27	
isogroup110880_g1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup110892_g1	6	6	1	0	0	0	0	0	0	0	0	0	12	2	23	0	
isogroup110896_g1	2	3	4	0	1	0	0	0	0	0	0	0	9	0	7	1	
isogroup110912_g1	1	2	0	0	0	0	0	0	0	0	0	0	6	0	5	1	
isogroup110940_g1	4	1	0	0	8	8	0	0	0	0	0	0	0	0	39	4	
isogroup110951_g1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	
isogroup110960_g1	0	0	0	0	0	1	0	0	1	13	0	0	13	9	48	7	
isogroup110971_g1	3	3	6	0	1	6	1	0	0	0	0	5	7	0	130	12	
