X,X1B,X1N,X2B,X2N,X3B,X3N,X5B,X5N,X6B,X6N,X7B,X7N,X8B,X8N,fitPatch,adjp.p,pval.p,adjp.g,pval.g,adjp.pc1,pval.pc1,direction,pval,binary
isogroup50440_g1,11.2413931934763,11.3716251199843,11.8733148666518,11.9284539773025,11.7930090033465,11.7758643510886,11.2992535181605,11.7783341310193,11.3504132466542,11.9838469349341,10.5548611524939,11.0047988461364,10.9677212799861,11.2129109058561,-0.283018783832626,0.0895000388849705,0.00207760076891705,9.27126837167754e-11,4.28534985275064e-12,0.884789993179651,0.0294059731717399,-1,-2.68243788174331,1
isogroup50470_g1,5.8476826842682,6.2602833321645,5.30458253319453,5.6107803710419,4.53341728409419,6.02075027169618,4.62568220694741,5.60988566064881,5.4693284986816,5.93734830328336,4.77878847545136,6.37879153884047,5.13027538329437,5.53937598222667,-1.52342132910792,0.0728082295790607,0.00140110035979146,0.679395315959606,0.572307242957931,0.884789993179651,0.0273769453189981,-1,-2.85353072440807,1
isogroup50512_g1,8.30261656483035,8.64563886147713,8.48198606377839,8.6573125722417,7.1357965396899,7.88999587526826,6.90813760557852,8.04567328519266,7.24378030908447,8.25585127792723,7.9549417884415,8.53773432649699,7.74019902256154,8.43260725729188,-0.715921524091524,0.00136193579524249,3.91187921744418e-06,0.00113085928996715,0.000224472820615662,0.147613561162323,0.000341822176683548,-1,-5.4076034610862,1
isogroup50582_g1,3.79936497857006,4.91597036384892,4.96951164023288,4.85603712782254,3.79936497857006,5.25704864206758,3.79936497857006,5.29364907487486,3.79936497857006,5.30984393937211,3.79936497857006,5.43378962443279,4.02376597663892,5.1174429993327,-5.9232080341103,0.0728932158191396,0.00141727861071239,0.999363364296271,0.999098398313691,0.884789993179651,0.0440696249861685,-1,-2.84854473646953,1
isogroup50720_g1,6.41764716500803,6.88553911348444,6.69137896252651,6.88692920870989,5.74679189245514,6.73970117524657,6.35401218590995,6.81408340690958,6.62641645707121,6.91790596854531,6.90161815712726,7.28718777865119,5.95868631177961,6.31041078562409,-0.550751212007955,0.00566946112663277,2.99239496637238e-05,5.38593444271495e-07,4.61957523345546e-08,0.592232541496834,0.00349574238987416,-1,-4.52397963314726,1
isogroup50827_g1,6.643945732269,6.65899220810144,6.6104879636109,7.64552982136479,6.74222303439541,7.606235774171,6.12208715750345,6.3940527405148,6.3714637880808,6.84889751257731,6.74270868278156,6.98390366998136,6.71394887747582,7.31069967900549,-0.620089196195107,0.0399641913595015,0.000552752624636499,0.00591251079387963,0.00150647535296111,0.884789993179651,0.0158304295500837,-1,-3.25746910801351,1
isogroup50881_g1,9.5240590100692,9.56286391283316,7.88062505376999,8.71212735948534,8.48685970767273,10.1365532241657,8.15641149888843,9.25553416898055,7.87866716932184,8.81850372633298,8.55908656247106,9.51625008943201,8.83346753304262,9.21961806636575,-0.8871985617441,0.00504013106279261,2.49445284592476e-05,0.0090078858036313,0.0024587587542656,0.322254276375447,0.0012648220120165,-1,-4.60302296032774,1
isogroup50908_g1,5.80503136757162,7.59994908840112,7.03765136555136,7.05074874202518,5.37849869666072,6.54300706440147,5.70876090838616,7.27833793932154,5.93385673761496,7.32461594653223,4.87284254377705,7.47655707215098,4.9888650167053,7.34202866604524,-2.37342847863359,0.00379435006088937,1.72699096894213e-05,0.930518686944055,0.901529925375537,0.227866707296752,0.000765625514891011,-1,-4.76270741876948,1
isogroup51035_g1,10.3797223892467,10.3503760348451,10.3476992337591,11.0618345750641,10.1311638916606,10.6790912729676,9.85193107664846,10.0791606188974,9.85088878071003,10.5036781115704,10.1526127325335,10.593344571612,9.83331897614772,10.4486169909404,-0.460015524797619,0.00291962659133458,1.14824024139981e-05,0.0113379885457054,0.00320700241630845,0.227866707296752,0.000713217591687521,-1,-4.9399634546071,1
isogroup51056_g2,7.48940358182583,7.69936269928703,6.80453099071757,7.30199423775534,7.21011893978292,7.59045506059136,6.72526124782915,7.54790581180777,6.46180476774889,7.40184457533532,7.08261420274928,7.14852160492033,7.55399880137929,7.85230896334254,-0.485880568986871,0.0770587429666437,0.00153913176407083,0.0547793198240023,0.0212266838504939,0.884789993179651,0.0355948191017885,-1,-2.81272417069155,1
