gene,pval
isogroup114237_g1,-0.156136207729564
isogroup114249_g1,-0.269390038918838
isogroup11426_g1,-0.271717241102638
isogroup114274_g1,-0.0846844281170502
isogroup114325_g1,0.560527546513935
isogroup11432_g1,0.794522051634065
isogroup114343_g1,-0.269043566724512
isogroup114357_g1,0.461282642127745
isogroup11441_g1,1.18123932701549
isogroup114420_g1,0.09765371972118
isogroup114431_g1,0.692034122663381
isogroup11444_g1,-0.211102784965442
isogroup114489_g1,-0.713353836284277
isogroup114591_g1,0.67239700169561
isogroup114632_g1,0.650920239205752
isogroup114637_g1,-0.548067654019268
isogroup114642_g1,0.0731310940180685
isogroup114652_g1,-7.69170691234575
isogroup114737_g1,-0.406109805496565
isogroup114749_g1,-1.14047703274912
isogroup11475_g1,-0.218391664092486
isogroup114769_g1,-0.374709465186794
isogroup114788_g1,0.658318323044593
isogroup114826_g1,0.308620041378851
isogroup114841_g1,-0.00278740542032348
isogroup114845_g1,-0.00131794342141096
isogroup114864_g1,-1.59651883420735
isogroup114870_g1,-0.0117715256956495
isogroup114875_g1,-0.0796992659310755
isogroup11489_g1,-0.165587920002526
isogroup114902_g1,-0.250541549286869
isogroup114935_g1,-0.0279225427462515
isogroup11504_g1,0.132201398834676
isogroup115066_g1,-0.802675639766827
isogroup11510_g1,-0.28569874269898
isogroup115114_g1,-0.232173163287292
isogroup115163_g1,0.0673803869282383
isogroup115200_g1,-0.0327046299087856
isogroup115265_g1,-0.816149390382725
isogroup11527_g1,-0.843754370942601
isogroup115307_g1,0.312473824010873
isogroup11532_g1,0.124527195938392
isogroup115347_g1,-0.249601806973544
isogroup115370_g1,0.468975885869641
isogroup115376_g1,2.54050760526308
isogroup115406_g1,1.04505493729222
isogroup115425_g1,0.680854508821824
isogroup115478_g1,-1.11873273903012
isogroup115565_g1,-0.64468623506684
isogroup11559_g1,-0.188542724987065
isogroup115611_g1,1.36530971767032
isogroup115630_g1,0.0452783644507305
isogroup115634_g1,-0.398975412730326
isogroup115674_g1,-0.392610865757299
isogroup115691_g1,0.151070730969005
isogroup115693_g1,-1.35335586009891
isogroup115695_g1,-1.11809055871546
isogroup115742_g1,0.24289258813604
isogroup115778_g1,-0.498139928407122
isogroup115832_g1,-0.0855140615344004
isogroup115861_g1,-0.124398065990243
isogroup115875_g1,0.794448944490868
isogroup115879_g1,0.735813109960956
isogroup115886_g1,0.328654251957033
isogroup115896_g1,0.881821004334945
isogroup11589_g1,-0.28659750497921
isogroup115927_g1,-0.709973005305749
isogroup11597_g1,1.5654988830588
isogroup11599_g1,-0.25631553173181
isogroup116028_g1,-0.261687490052217
isogroup116076_g1,-0.205471603450374
isogroup116088_g1,-1.5664844834451
isogroup116142_g1,-0.345109016790921
isogroup116154_g1,-2.7877498438087
isogroup11624_g1,0.196396698953438
isogroup116258_g1,0.0610887773303352
isogroup116264_g1,1.53487013323118
isogroup116314_g1,0.747811759382526
isogroup116353_g1,-1.65669463945136
isogroup116397_g1,0.0127166559129126
isogroup11640_g1,-0.603099928796519
isogroup116431_g1,0.238829995383118
isogroup116440_g1,-1.18453208331629
isogroup11644_g2,0.202328131887744
isogroup116488_g1,-0.8375691596986
isogroup116508_g1,1.08319478126364
isogroup116528_g1,1.03336688784376
isogroup116617_g1,0.7367508480658
isogroup116624_g1,0.598420570583052
isogroup116700_g1,0.400727607799033
isogroup11670_g1,0.780435003729654
isogroup116782_g1,0.747023482761717
isogroup116853_g1,-0.591830546678998
isogroup116859_g1,-0.324936324446087
isogroup116947_g1,-0.466030485286413
isogroup116982_g1,-0.00960829998583657
isogroup116984_g1,0.318970742901988
isogroup117050_g1,0.756057257753309
isogroup117062_g1,-0.512258668005987
isogroup117068_g1,0.547626982476854
isogroup117069_g1,0.382999672494213
isogroup117095_g1,-0.0174530543134036
isogroup1170_g1,-0.104712133484367
isogroup117105_g1,-0.298342311545633
isogroup117130_g1,1.00663609254891
isogroup117143_g1,0.83451075301058
isogroup117174_g1,-1.03081457298292
isogroup117198_g1,0.0687488623495453
isogroup11723_g1,0.0166648588369401
isogroup117250_g1,-5.98014997139478
isogroup117265_g1,0.848448855477101
isogroup11727_g1,0.313673562608573
isogroup11728_g1,0.133853522155952
isogroup117293_g1,0.430602443312596
isogroup117383_g1,0.288795603582072
isogroup117414_g1,0.81388037559804
isogroup117447_g1,0.145721706872542
isogroup117464_g1,-1.7561097963422
isogroup117477_g1,0.382538161159914
isogroup117482_g1,2.86647048308738
isogroup117484_g1,0.115538054702887
isogroup117632_g1,1.10289041783495
isogroup117636_g1,-0.132739590718337
isogroup117702_g1,-0.283704977505056
isogroup117708_g1,0.191346089312164
isogroup117725_g1,0.00528434012692598
isogroup11782_g1,-0.314377659226142
isogroup11784_g2,0.914651391020852
isogroup11790_g1,0.0344849675325268
isogroup117916_g1,0.261628337213437
isogroup11791_g1,-0.0687376808785032
isogroup11792_g1,-0.100681396289145
isogroup11793_g1,-0.0277429870908283
isogroup117945_g1,-0.249176906170004
isogroup117957_g1,0.42991657761524
isogroup117993_g1,0.0605415438420683
isogroup118029_g1,-0.756300676429853
isogroup118032_g1,-0.0654545753797073
isogroup118186_g1,1.26824796952888
isogroup118190_g1,-0.0404144601329758
isogroup118208_g1,0.763680652643929
isogroup118216_g1,0.248703808436786
isogroup1182_g1,0.535772464450531
isogroup118340_g1,-0.00205263786089795
isogroup118366_g1,0.547595572515808
isogroup118379_g1,1.64119036969303
isogroup118418_g1,-0.361228707307116
isogroup118423_g1,0.592803537503397
isogroup118431_g1,0.759239479999329
isogroup118433_g1,-4.55370775606999
isogroup11846_g1,1.00682063587346
isogroup118535_g1,0.296851417075217
isogroup118594_g1,0.40285574258681
isogroup11861_g1,0.552182274359827
isogroup118622_g1,-0.0729392559907949
isogroup118645_g1,-0.545208816148833
isogroup118666_g1,-0.0450706945783773
isogroup118688_g1,0.161945063972986
isogroup11868_g1,0.950323010323187
isogroup118726_g1,0.301489220416632
isogroup118760_g1,0.335223319582018
isogroup118777_g1,0.195930566232906
isogroup118788_g1,0.302720957011898
isogroup118803_g1,-0.22957211272892
isogroup118806_g1,0.720140135347651
isogroup118823_g1,0.41278912630533
isogroup118846_g1,0.245321550743063
isogroup118847_g1,-0.421835048866304
isogroup118849_g1,0.348823818800447
isogroup118872_g1,0.487571835757565
isogroup1188_g1,-0.0523242319330833
isogroup118941_g1,0.159588747636049
isogroup118942_g1,0.44096491561188
