X,binary
isogroup118208_g1,0
isogroup118216_g1,0
isogroup1182_g1,0
isogroup118340_g1,0
isogroup118366_g1,0
isogroup118379_g1,0
isogroup118418_g1,0
isogroup118423_g1,0
isogroup118431_g1,0
isogroup118433_g1,1
isogroup11846_g1,0
isogroup118535_g1,0
isogroup118594_g1,0
isogroup11861_g1,0
isogroup118622_g1,0
isogroup118645_g1,0
isogroup118666_g1,0
isogroup118688_g1,0
isogroup11868_g1,0
isogroup118726_g1,0
isogroup118760_g1,0
isogroup118777_g1,0
isogroup118788_g1,0
isogroup118803_g1,0
isogroup118806_g1,0
isogroup118823_g1,0
isogroup118846_g1,0
isogroup118847_g1,0
isogroup118849_g1,0
isogroup118872_g1,0
isogroup1188_g1,0
isogroup118941_g1,0
isogroup118942_g1,0
isogroup118954_g1,0
isogroup118973_g1,0
isogroup118976_g1,0
isogroup119008_g1,0
isogroup119023_g1,0
isogroup119027_g1,0
isogroup11904_g1,0
isogroup119069_g1,0
isogroup11906_g1,0
isogroup119072_g1,0
isogroup119080_g1,0
isogroup119084_g1,0
isogroup119104_g1,1
isogroup119116_g1,0
isogroup119140_g1,0
isogroup119164_g1,0
isogroup119165_g1,0
isogroup119214_g1,0
isogroup119292_g1,0
isogroup119313_g1,0
isogroup119422_g1,0
isogroup119460_g1,0
isogroup119504_g1,0
isogroup119539_g1,0
isogroup119560_g1,0
isogroup119576_g1,0
isogroup1195_g1,0
isogroup119657_g1,0
isogroup119668_g1,0
isogroup119685_g1,0
isogroup119712_g1,0
isogroup119749_g1,0
isogroup119797_g1,0
isogroup119896_g1,0
isogroup119927_g1,0
isogroup11992_g1,0
isogroup119964_g1,0
isogroup120036_g1,0
isogroup120151_g1,0
isogroup120160_g1,0
isogroup120163_g1,0
isogroup120184_g1,0
isogroup120330_g1,0
isogroup120335_g1,0
isogroup120346_g1,0
isogroup120352_g1,0
isogroup120360_g1,0
isogroup120373_g1,0
isogroup120383_g1,0
isogroup12041_g1,0
isogroup120438_g1,0
isogroup12049_g1,0
isogroup12051_g1,0
isogroup120526_g1,0
isogroup12064_g1,0
isogroup120714_g1,0
isogroup120821_g1,0
isogroup120828_g1,0
isogroup12084_g1,0
isogroup120877_g1,0
isogroup120883_g1,0
isogroup120913_g1,0
isogroup120968_g1,0
isogroup120995_g1,0
isogroup121121_g1,0
isogroup121143_g1,0
isogroup121155_g1,0
isogroup121182_g1,0
isogroup121193_g1,0
isogroup121232_g1,0
isogroup121293_g1,0
isogroup121320_g1,0
isogroup121374_g1,0
isogroup1213_g1,0
isogroup121418_g1,0
isogroup121420_g1,0
isogroup12148_g1,0
isogroup121543_g1,0
isogroup121551_g1,0
isogroup121565_g1,0
isogroup12158_g1,0
isogroup121638_g1,0
isogroup121684_g1,0
isogroup12171_g1,0
isogroup121778_g1,0
isogroup121794_g1,0
isogroup121795_g1,0
isogroup121823_g1,0
isogroup121878_g1,0
